ma_GeV,gl,gtau
1.0000000000000002e-06,2.4804055407256443e-09,8.641511379411484e-06
1.0232929922807537e-06,2.480406121356032e-09,8.649829255143441e-06
1.0471285480508996e-06,2.4804067801344825e-09,8.658398542788517e-06
1.071519305237606e-06,2.4804062709184445e-09,8.652084332935185e-06
1.0964781961431853e-06,2.4804082225712215e-09,8.679045332224922e-06
1.1220184543019628e-06,2.480408151598348e-09,8.67774483353698e-06
1.148153621496883e-06,2.4804060556164307e-09,8.652635528005308e-06
1.1748975549395291e-06,2.4804078045611904e-09,8.673696249945032e-06
1.2022644346174128e-06,2.4804086239269516e-09,8.685282063339395e-06
1.2302687708123814e-06,2.480408783612721e-09,8.689276014080375e-06
1.2589254117941676e-06,2.4804086227046872e-09,8.68740743975603e-06
1.2882495516931337e-06,2.4804071002760856e-09,8.670238050722631e-06
1.3182567385564076e-06,2.4804080688188167e-09,8.68268549071646e-06
1.3489628825916533e-06,2.48040621158645e-09,8.66144037657767e-06
1.3803842646028853e-06,2.4804075150268667e-09,8.67879492544612e-06
1.4125375446227541e-06,2.4804087882019318e-09,8.693944480314964e-06
1.445439770745928e-06,2.4804076356954927e-09,8.681530988964939e-06
1.4791083881682073e-06,2.480406722249344e-09,8.671109001407503e-06
1.5135612484362087e-06,2.4804052833869574e-09,8.655321955048387e-06
1.548816618912481e-06,2.480406659053662e-09,8.673674475815351e-06
1.584893192461114e-06,2.4804058866861302e-09,8.6644311987348e-06
1.6218100973589298e-06,2.4804058869133055e-09,8.666637772776825e-06
1.6595869074375613e-06,2.4804057257773314e-09,8.66635852019756e-06
1.6982436524617444e-06,2.4804055297893728e-09,8.664705926391917e-06
1.7378008287493763e-06,2.480406210122394e-09,8.674731266075924e-06
1.778279410038923e-06,2.4804040715518264e-09,8.649573032270021e-06
1.8197008586099824e-06,2.480405294133499e-09,8.666173020469398e-06
1.8620871366628677e-06,2.4804039695239844e-09,8.651628483058167e-06
1.9054607179632481e-06,2.4804053445800615e-09,8.67095843268452e-06
1.949844599758046e-06,2.4804045689324412e-09,8.663020049300399e-06
1.995262314968879e-06,2.4804059742052044e-09,8.682525604191399e-06
2.0417379446695294e-06,2.4804051453605444e-09,8.674079367230482e-06
2.0892961308540385e-06,2.480405444379654e-09,8.679776752509182e-06
2.1379620895022326e-06,2.4804052135001743e-09,8.678567057853204e-06
2.187761623949552e-06,2.480404486159514e-09,8.672143099537453e-06
2.23872113856834e-06,2.4804046629738085e-09,8.676577104382263e-06
2.2908676527677726e-06,2.4804042554346887e-09,8.673839182433683e-06
2.3442288153199226e-06,2.480403936579405e-09,8.67230675436333e-06
2.3988329190194897e-06,2.4804035083558135e-09,8.669453056763361e-06
2.4547089156850314e-06,2.4804034987289813e-09,8.672309466894247e-06
2.5118864315095797e-06,2.480403058768128e-09,8.669349546857292e-06
2.5703957827688647e-06,2.4804028926883545e-09,8.670413703456505e-06
2.6302679918953817e-06,2.4804024290146522e-09,8.667859158456708e-06
2.6915348039269168e-06,2.4804024112980784e-09,8.670508899208884e-06
2.754228703338166e-06,2.4804019978977015e-09,8.66885174429706e-06
2.818382931264455e-06,2.4804017395890485e-09,8.668834659105153e-06
2.884031503126605e-06,2.480401446105645e-09,8.668844305147918e-06
2.951209226666387e-06,2.480401394875659e-09,8.6717617134789e-06
3.019951720402016e-06,2.4804009300548438e-09,8.669985852841854e-06
3.0902954325135923e-06,2.4804003441683973e-09,8.666834785224429e-06
3.1622776601683796e-06,2.4804000117783276e-09,8.666939932049968e-06
3.235936569296281e-06,2.4803995470374234e-09,8.665449096069953e-06
3.311311214825911e-06,2.4803992972775464e-09,8.66669052066752e-06
3.388441561392028e-06,2.480399287090383e-09,8.67109718673047e-06
3.4673685045253173e-06,2.480398664357902e-09,8.668408642785555e-06
3.5481338923357534e-06,2.48039832778338e-09,8.669036655157816e-06
3.630780547701014e-06,2.4803976656684873e-09,8.66642521352885e-06
3.7153522909717285e-06,2.4803970590029276e-09,8.66444003683702e-06
3.801893963205613e-06,2.4803971778087664e-09,8.671366656015232e-06
