ma_GeV,gl,gtau
1.0000000000000002e-06,1.6536050114140518e-09,5.779426273695974e-06
1.0232929922807537e-06,1.6536049681031441e-09,5.77942620880484e-06
1.0471285480508996e-06,1.6536049231936016e-09,5.779426142402199e-06
1.071519305237606e-06,1.6536048766203888e-09,5.779426074452832e-06
1.0964781961431853e-06,1.6536048283156522e-09,5.779426004920731e-06
1.1220184543019628e-06,1.6536047782085803e-09,5.779425933769023e-06
1.148153621496883e-06,1.6536047262252776e-09,5.7794258609599826e-06
1.1748975549395291e-06,1.653604672288615e-09,5.779425786454979e-06
1.2022644346174128e-06,1.653604616318113e-09,5.779425710214557e-06
1.2302687708123814e-06,1.65360455822975e-09,5.779425632198276e-06
1.2589254117941676e-06,1.6536044979358173e-09,5.779425552364741e-06
1.2882495516931337e-06,1.6536044353447734e-09,5.7794254706716645e-06
1.3182567385564076e-06,1.6536043703610424e-09,5.779425387075733e-06
1.3489628825916533e-06,1.6536043028848245e-09,5.7794253015325816e-06
1.3803842646028853e-06,1.6536042328119374e-09,5.779425213996869e-06
1.4125375446227541e-06,1.6536041600336026e-09,5.7794251244222165e-06
1.445439770745928e-06,1.6536040844362057e-09,5.779425032761086e-06
1.4791083881682073e-06,1.6536040059011338e-09,5.7794249389649236e-06
1.5135612484362087e-06,1.653603924304482e-09,5.77942484298394e-06
1.548816618912481e-06,1.6536038395168753e-09,5.779424744767293e-06
1.584893192461114e-06,1.6536037514031687e-09,5.779424644262881e-06
1.6218100973589298e-06,1.653603659822218e-09,5.779424541417444e-06
1.6595869074375613e-06,1.653603564626574e-09,5.7794244361764245e-06
1.6982436524617444e-06,1.6536034656622222e-09,5.779424328484035e-06
1.7378008287493763e-06,1.6536033627682638e-09,5.779424218283158e-06
1.778279410038923e-06,1.6536032557766133e-09,5.779424105515395e-06
1.8197008586099824e-06,1.65360314451166e-09,5.779423990120944e-06
1.8620871366628677e-06,1.6536030287899123e-09,5.7794238720386e-06
1.9054607179632481e-06,1.6536029084196736e-09,5.779423751205792e-06
1.949844599758046e-06,1.6536027832006144e-09,5.779423627558433e-06
1.995262314968879e-06,1.6536026529234056e-09,5.77942350103093e-06
2.0417379446695294e-06,1.653602517369319e-09,5.779423371556256e-06
2.0892961308540385e-06,1.6536023763097626e-09,5.779423239065755e-06
2.1379620895022326e-06,1.6536022295058224e-09,5.7794231034891325e-06
2.187761623949552e-06,1.653602076707833e-09,5.779422964754542e-06
