ma_GeV,cl_TeV-1,ctau_TeV-1
1.0000000000000002e-06,10191.599829241886,124139297777.784
1.0232929922807537e-06,9732.901944741074,118132556236.34311
1.0471285480508996e-06,9294.848851100705,112680283115.41188
1.071519305237606e-06,8876.511402975328,107709092888.08998
1.0964781961431853e-06,8477.002240805372,102436618577.24028
1.1220184543019628e-06,8095.473949353068,97656241841.36967
1.148153621496883e-06,7731.1172820331485,93900231356.82625
1.1748975549395291e-06,7383.159355299204,89319731114.79138
1.2022644346174128e-06,7050.862110837529,84673038783.74635
1.2302687708123814e-06,6733.520718184951,80930582938.3944
1.2589254117941676e-06,6430.4620431526,77504948727.53793
1.2882495516931337e-06,6141.043255248597,74357538591.10045
1.3182567385564076e-06,5864.6504573103575,70765385944.76315
1.3489628825916533e-06,5600.697391599264,67816827193.28593
1.3803842646028853e-06,5348.6241683215485,64530548246.181694
1.4125375446227541e-06,5107.896113353506,61548042961.54986
1.445439770745928e-06,4878.002605629419,58829052178.81981
1.4791083881682073e-06,4658.456014534885,56340129826.123
1.5135612484362087e-06,4448.790648611768,53854534968.82437
1.548816618912481e-06,4248.561781784641,51398011447.65613
1.584893192461114e-06,4057.344695057597,48991414741.95733
1.6218100973589298e-06,3874.733801160085,46950104958.89411
1.6595869074375613e-06,3700.341750455881,44796429603.770294
1.6982436524617444e-06,3533.798637994438,42831673121.27954
1.7378008287493763e-06,3374.7512009160114,40690088689.34546
1.778279410038923e-06,3222.8620798366333,39166929524.98696
1.8197008586099824e-06,3077.809095802361,37178759771.239456
1.8620871366628677e-06,2939.284574397703,35727880611.16795
1.9054607179632481e-06,2806.9946827027825,33908404500.736393
1.949844599758046e-06,2680.658820492526,32479890090.739807
1.995262314968879e-06,2560.009008196987,30838800232.061558
2.0417379446695294e-06,2444.7893336329,29533124560.614857
2.0892961308540385e-06,2334.755400579767,28170056627.417
2.1379620895022326e-06,2229.6738109234834,26927259379.828453
2.187761623949552e-06,2129.3216738311176,25744163007.016495
2.23872113856834e-06,2033.4861269254598,24536730973.479942
2.2908676527677726e-06,1941.9638918546545,23437484836.73809
2.3442288153199226e-06,1854.560837347056,22398207410.058846
2.3988329190194897e-06,1771.0915696085606,21415829328.390785
2.4547089156850314e-06,1691.3790381691836,20430162993.13703
2.5118864315095797e-06,1615.254163170795,19531235283.13241
2.5703957827688647e-06,1542.5554724574463,18636674362.869293
2.6302679918953817e-06,1473.1287631525415,17820469131.944206
2.6915348039269168e-06,1406.8267710039531,17013269679.272684
2.754228703338166e-06,1343.5088612608947,16239938748.528593
2.818382931264455e-06,1283.0407279152505,15517398620.953949
2.884031503126605e-06,1225.2941097888067,14811348670.006813
2.951209226666387e-06,1170.1465183789066,14139404787.930172
3.019951720402016e-06,1117.4809784178676,13513305235.152962
3.0902954325135923e-06,1067.1857790092758,12906099011.638596
3.1622776601683796e-06,1019.1542375259373,12330321439.347124
3.235936569296281e-06,973.2844719637777,11775258319.807009
3.311311214825911e-06,929.4791868021216,11242072768.703568
3.388441561392028e-06,887.6454649219136,10723587315.523188
3.4673685045253173e-06,847.6945716411935,10250818555.425447
3.5481338923357534e-06,809.541765371094,9791724027.687166
3.630780547701014e-06,773.1061190600494,9354034841.541235
3.7153522909717285e-06,738.3103476051848,8937411814.944609
3.801893963205613e-06,705.0806444311993,8521476063.772709
3.890451449942805e-06,673.3465250611108,8133490687.575132
3.981071705534973e-06,643.0406769606586,7775167775.188559
4.073802778041126e-06,614.0988173091423,7420676511.491046
4.168693834703356e-06,586.4595565664458,7090229798.480119
4.2657951880159266e-06,560.0642681071084,6772267257.526491
4.365158322401661e-06,534.8569639177423,6467290673.920236
4.466835921509632e-06,510.7841758803298,6175553397.338379
4.570881896148753e-06,487.7948422959026,5897106249.525359
4.677351412871981e-06,465.84019980371835,5631838205.32215
4.786300923226386e-06,444.87367950411704,5379511716.031501
4.897788193684461e-06,424.85080858786677,5139792847.559914
